TransportMode;ID_Line;Name_Line;Co2e_voy_km_line;Co2e_voy_km_mode (medias IDFM);Source;Lien source
metro;C01387;7B;3.8;3.8;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
metro;C01382;12;3.8;3.8;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
metro;C01383;13;3.8;3.8;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
metro;C01384;14;3.8;3.8;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
tram;C01795;T8;3.1;3.2;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
tram;C01999;T11;3.4;3.2;Transilien 2019;https://www.transilien.com/fr/page-corporate/calcul-emissions-co2
tram;C02528;T10;3.4;3.2;;
rail;C01863;TER Hauts-de-France;26.93;26.93;SNCF 2019;https://www.sncf-connect.com/train/eco-responsable
rail;C01748;TER Normandie;26.93;26.93;SNCF 2019;https://www.sncf-connect.com/train/eco-responsable
rail;C01388;ORLYVAL;3.8;3.8;;
bus;NA;NA;NA;92.0;"Base Carbone Ademe (""Autobus, Gazole, Courte distance"")";https://base-empreinte.ademe.fr/documentation/base-carbone
metro;C01371;1;3.8;3.8;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
metro;C01375;5;3.8;3.8;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
metro;C01376;6;3.8;3.8;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
tram;C02317;T9;3.4;3.2;;
rail;C01743;B;3.9;5.5;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
rail;C01728;D;6.6;5.5;Transilien 2019;https://www.transilien.com/fr/page-corporate/calcul-emissions-co2
rail;C01729;E;6.6;5.5;Transilien 2019;https://www.transilien.com/fr/page-corporate/calcul-emissions-co2
rail;C01737;H;6.6;6.6;Transilien 2019;https://www.transilien.com/fr/page-corporate/calcul-emissions-co2
rail;C01736;N;6.6;6.6;Transilien 2019;https://www.transilien.com/fr/page-corporate/calcul-emissions-co2
rail;C01731;R;6.6;6.6;Transilien 2019;https://www.transilien.com/fr/page-corporate/calcul-emissions-co2
rail;C01857;TER Centre - Val-de-Loire;26.93;26.93;SNCF 2019;https://www.sncf-connect.com/train/eco-responsable
rail;C02375;TER Normandie;26.93;26.93;SNCF 2019;https://www.sncf-connect.com/train/eco-responsable
metro;C01377;7;3.8;3.8;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
metro;C01380;10;3.8;3.8;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
tram;C01391;T3a;3.1;3.2;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
tram;C01794;T6;3.1;3.2;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
tram;C01774;T7;3.1;3.2;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
rail;C01739;J;6.6;6.6;Transilien 2019;https://www.transilien.com/fr/page-corporate/calcul-emissions-co2
rail;C01740;L;6.6;6.6;Transilien 2019;https://www.transilien.com/fr/page-corporate/calcul-emissions-co2
rail;C02368;TER Centre - Val de Loire;26.93;26.93;SNCF 2019;https://www.sncf-connect.com/train/eco-responsable
rail;C02370;TER Normandie;26.93;26.93;SNCF 2019;https://www.sncf-connect.com/train/eco-responsable
metro;C01373;3;3.8;3.8;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
metro;C01374;4;3.8;3.8;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
metro;C01378;8;3.8;3.8;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
metro;C01379;9;3.8;3.8;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
metro;C01381;11;3.8;3.8;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
tram;C01679;T3b;3.1;3.2;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
rail;C01742;A;3.9;5.5;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
rail;C01727;C;6.6;5.5;Transilien 2019;https://www.transilien.com/fr/page-corporate/calcul-emissions-co2
rail;C01738;K;6.6;6.6;Transilien 2019;https://www.transilien.com/fr/page-corporate/calcul-emissions-co2
rail;C01747;TER Grand-Est;26.93;26.93;SNCF 2019;https://www.sncf-connect.com/train/eco-responsable
rail;C00563;CDG VAL;3.8;3.8;;
metro;C01372;2;3.8;3.8;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
metro;C01386;3B;3.8;3.8;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
tram;C01389;T1;3.1;3.2;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
tram;C01390;T2;3.1;3.2;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
tram;C01684;T5;3.1;3.2;RATP 2019;https://www.ratp.fr/aide-contact/questions/calculer-son-empreinte-carbone
tram;C01843;T4;3.4;3.2;Transilien 2019;https://www.transilien.com/fr/page-corporate/calcul-emissions-co2
tram;C02344;T13;3.4;3.2;Transilien 2019;https://www.transilien.com/fr/page-corporate/calcul-emissions-co2
rail;C01730;P;6.6;6.6;Transilien 2019;https://www.transilien.com/fr/page-corporate/calcul-emissions-co2
rail;C01741;U;6.6;6.6;Transilien 2019;https://www.transilien.com/fr/page-corporate/calcul-emissions-co2
rail;C01745;TER Bourgogne - Franche-Comté;26.93;26.93;SNCF 2019;https://www.sncf-connect.com/train/eco-responsable
rail;C01744;TER Centre - Val de Loire;26.93;26.93;SNCF 2019;https://www.sncf-connect.com/train/eco-responsable
rail;C02372;TER Hauts-de-France;26.93;26.93;SNCF 2019;https://www.sncf-connect.com/train/eco-responsable
rail;C01746;TER Hauts-de-France;26.93;26.93;SNCF 2019;https://www.sncf-connect.com/train/eco-responsable
