identifiant commerce;DEA_NOM_COMMERCE;DEA_JOUR_FERMETURE;DEA_NUMERO_RUE_LIVRAISON;DEA_CODE_POSTAL_LIVRAISON;DEA_COMMUNE_LIVRAISON
510016;Tabac du Marché;Lundi;64 R. de Neuilly;92110;Clichy
510152;Mag Presse;Dimanche;15 Av. Charles de Gaulle;92350;Le Plessis-Robinson
510256;La Rotonde;;13 R. Henri Barbusse;92390;Villeneuve-la-Garenne
510276;Tabac du Centre;Dimanche;68 R.du Gouverneur Général Eboué;92130;Issy-les-Moulineaux
510290;Le Balto;Dimanche;63 Av. de la Grande Armée;75016;Paris
510312;Presse;;2 Rond Point Rhin et Danube;92100;Boulogne-Billancourt
510318;Le Gaulois;;6 Pl. du 11 Novembre;95100;Argenteuil
510324;Le Voltigeur;Dimanche;118 Bd  Berthier;75017;Paris
510329;Le Brazza;Lundi;53 R. de Tocqueville;75017;Paris
510353;Le Mondial;Dimanche;8 Pl. Louis Aragon;92700;Colombes
510356;Tabac du Marché;Mercredi;31 R. Carnot;92300;Levallois-Perret
510365;Le Wilson;;75 R. Labrouste;75015;Paris
510405;Le Louis XV;Samedi;31BIS R. des Bourguignons;92270;Bois-Colombes
510406;Au Jean Bart;Dimanche;44 R. du Dr  Roux;75015;Paris
510425;Le Lamartine;;178 Av. Victor Hugo;75016;Paris
510487;Le Havane;Dimanche;50 Av. Jean-Baptiste Clément;92100;Boulogne-Billancourt
510488;Au Ptit Creux Gourma;Dimanche;11 R. Georges Seurat;92110;Clichy
510505;Tabac de la Gare;;2 R. Merlin de Thionville;92150;Suresnes
510507;Le Carolène;;56 R. Berzélius;75017;Paris
510522;Plum2000;Dimanche;174 R. de la Pompe;75016;Paris
510538;Le Calumet;Dimanche;145 Av. de Villiers;75017;Paris
510545;Le Valerien;;1 R. de la Poterie;92150;Suresnes
510550;Le Flash;;35 R. Jean Pierre Timbaud;92400;Courbevoie
510551;Le café des Sports;Dimanche;34 R. Rivay;92300;Levallois-Perret
510556;Le Dugommier;Dimanche;240 R. du Charenton;75012;Paris
510557;La Gitane;;47 Bd de Grenelle;75015;Paris
510563;Le Rond Point;Dimanche;39 Av. Édouard Vaillant;92150;Suresnes
510567;Le  Village;;5 R. du Bournard;92700;Colombes
510576;Tabac Jeux;;96 R. Raynouard;75016;Paris
510588;Café Malesherbes;Dimanche;192 Bd de Malesherbes;75017;Paris
510589;Le Rallye;;29 R. Brochant;75017;Paris
510597;Tabac la Place;;8 Pl. Falguière;75015;Paris
510601;La Carotte Motte Piq;;55-57 Av. de la Motte Picquet;75015;Paris
510607;Tabac Saint Exupéry;Mercredi;8 R. Saint-Exupéry;92360;Meudon-la-Forêt
510618;Comptoir des Frangin;;82 R. du Chateau;92100;Boulogne-Billancourt
510628;La Civette du Pont;Dimanche;253 Bd Jean Jaurès;92100;Boulogne-Billancourt
510631;Tabac de la Paix;;766 Av. Roger Salengro;92370;Chaville
510634;La Parisienne;;57 Av. Mozart;75016;Paris
510647;Le Falguière;;129 R. de Vaugirard;75015;Paris
510661;Tabac des Chênes;;45 R. des Chênes;92150;Suresnes
510662;Tabac Lecourbe;Dimanche;37 R. Lecourbe;75015;Paris
510667;Mag Presse;Dimanche;116 Bd du Mal  Lattre de Tassigny;92150;Suresnes
510669;Civette de Neuilly;;105 Av. Charles de Gaulle;92200;Neuilly-sur-Seine
510671;La Divette;;61 R. Paul Vaillant Couturier;95100;Argenteuil
520016;Totem;Dimanche;41 Bd  Gallieni;94360;Bry-sur-Marne
520104;Tabac de La Poste;Dimanche;46 Av. du Mar. Foch;93360;Neuilly-Plaisance
520122;L‘Imperial;Mercredi;38 R. d'Aulnay;93270;Sevran
520144;Civette des 7 Iles;Dimanche;186 Av. Jean Jaurès;93370;Montfermeil
520266;Le Cadre Noir;Dimanche;38 R. de Joinville;75019;Paris
520278;Café de la Seine;Dimanche;21 Av. Ledru-Rollin;75012;Paris
520309;Tabac de la Gare;Mercredi;2 Av. du Mar. Foch;77500;Chelles
520345;Le Celtique;;175 Bd de la Boissière;93100;Montreuil
520351;Le Malakoff;Lundi;36 R. du Grand Cerf;77100;Meaux
520353;Civette Rosny 2;Dimanche;2 Av. du Gal de Gaulle C.Cial R2;93110;Rosny-sous-Bois
520379;Le Brazza;Dimanche;8 Route de Montreuil;93230;Romainville
520383;Tabac de la Gare;Dimanche;3 Pl. Roger Nicolas;77330;Ozoir-la-Ferrière
520397;Le Paris-Lille;;36 Av. du Cimetière Parisien;93500;Pantin
520423;Le Saint-Fargeau;;108 Av.Gambetta;75020;Paris
520444;Le Marceau;Dimanche;111 Av. Ledru Rollin;75011;Paris
520445;Le St-Mandé;Dimanche;82 Av. de St Mandé;75012;Paris
520451;La Petite Etincelle;;38 Bd  Beaumarchais;75011;Paris
520483;Le Jean Bart;;159 R. de Paris;93260;Les Lilas
520496;Le Bel Air;;25 Av. Édouard Vaillant;93000;Bobigny
520503;Bar l'Express;;2 Pl. du Général Leclerc;93380;Pierrefitte-sur-Seine
520512;Le Prestige;Lundi;182 Av. Maurice Thorez;94500;Champigny-sur-Marne
520523;Le Celtique;;60 R. Parmentier;93240;Stains
520525;Tabac de La Gare;;7 Pl. de la Gare;93250;Villemomble
520531;Les Mortefontaines;Dimanche;63 Av. Mathieu Chazotte;95170;Deuil-la-Barre
520535;Angkor;Jeudi;98 R. d'Aubervilliers;75019;Paris
520542;Tabac de L'église;;132 Av. Aristide Briand;93320;Les Pavillons-sous-Bois
520558;Tabac Le Jean Bart;;17 R. Pétion;75011;Paris
520561;Tabac du Fort;Mardi;123 R. du Monument;94500;Champigny-sur-Marne
520562;Tabac l' Estaminet;Dimanche;10 R. Jean-Pierre Timbaud;75011;Paris
520566;Tabac de la Mairie;Dimanche;20 R. du Moutier;93300;Aubervilliers
520567;Tabac Le Sévigné;Dimanche;162 Grande Rue;93250;Villemomble
520570;Bar Tabac Le Balto;Dimanche;44 Bd  Jules Guesde;93200;Saint-Denis
520575;Tabac Au Bon Coin;;2 Bd  Davout;75020;Paris
520577;Tabac Le Flash;;1 Pl. Gabriel Péri;93440;Dugny
520580;Tabac La Lorraine;Mercredi;127 Av. Jean Jaures;75019;Paris
520584;Tabac de la Mairie;Dimanche;4 R. Louis Talamoni;94500;Champigny-sur-Marne
520588;Tabac de la Mairie;;1 R. Carnot;93240;Stains
520590;Le 1930;;128 R. de Charonne;75011;Paris
520599;Tbc L'Hotel de Ville;Dimanche;2 R. Raoul Berton;93170;Bagnolet
520604;Le Pot de Vie;;52 R. des Alouettes;75019;Paris
520608;Le week-end;;42 Bd Henri IV;75004;Paris
520609;Le Cantal;Dimanche;20 R. Deveria;75020;Paris
520610;Le Central;;199 R. Robespierre;93170;Bagnolet
520611;Tabac de la Mairie;Dimanche;6 All. Jean Baptiste Colbert;77200;Torcy
520613;Tabac Le Val;Dimanche;10 Av. du Val de Fontenay;91150;Fontenay-sous-Bois
520616;Le St Maur;;217 R. Saint Maur;75010;Paris
520624;Le Celtique;;23 R.de la Gare;95170;Deuil-la-Barre
520625;Le Fontenoy;;17 Pl. de la Libération;93190;Livry-Gargan
520627;Tabac le Navy;;26 R. du Château d'eau;75010;Paris
520634;Le Piazza;;2 All. André Malraux;93160;Noisy-le-Grand
520640;La Tabatière;Dimanche;4 Pl. de la Libération;95200;Sarcelles
520646;Le Pasteur;Dimanche;138 Av. Pasteur;93150;Le Blanc-Mesnil
520652;Tabac de la Cité;;221 Bd Théophile Sueur;93100;Montreuil
520653;La Barrique;Dimanche;7 R. Beaurepaire;75010;Paris
520656;Le Royal Strasbourg;;34 Bd  de Strasbourg;75010;Paris
530051;Studio-Presse;Dimanche;17 R. Jean Jaurès;94240;L'Haÿ-les-Roses
530061;Le Vaillant;Dimanche;122 R. Edouard Vaillant;94140;Alfortville
530096;Le Naguère;;66 R. Daguerre;75014;Paris
530117;Librairie du Centre;Dimanche;79 Av.de la République;92120;Montrouge
530156;Et Cetera;Dimanche;10 R. des Halles;75001;Paris
530200;Korum-Café;Dimanche;12 R. Neuve Tolbiac;75013;Paris
530204;L'Express;;2 R. du Pdt Robert Lakota;91270;Vigneux-sur-Seine
530247;Le Marigny;;4 R. Henri Crette;94550;Chevilly-Larue
530256;Le Ventadour;;46 R. des Petits-Champs;75002;Paris
530261;Tabac des Arcades;Dimanche;163 R. du Pdt François Mitterrand;91160;Longjumeau
530271;Le Tom Tip;;127 R. Paul Vaillant-Couturier;92240;Malakoff
530284;Le Brazza;Dimanche;123 Av. Aristide Briand;94110;Arcueil
530303;Tabac de la Gaïté;Dimanche;49 R. de la Gaîté;75014;Paris
530309;Le Nemrod;;124 R. Julian Grimau;94400;Vitry-sur-Seine
530310;Tabac Brazza;Samedi;28 Av. Eugène Thomas;94270;Le Kremlin-Bicêtre
530320;Tabac des Ecoles;Dimanche;79 R. de Paris;94220;Charenton-le-Pont
530332;Tabac Le Village;Lundi;3 R. Paul-François Avet;94000;Créteil
530356;Le Concorde;;19-21 Bd de Fontainebleau;91550;Paray-Vieille-Poste
530360;Tabac de la Mairie;Lundi;175 R. Paul Vaillant Couturier;94140;Alfortville
530361;Tabac Saint-Michel;;22 R. Saint-André des Arts;75006;Paris
530383;Presse - Tabac;Dimanche;9 R. de Blainville;75005;Paris
530415;Emy Café;Dimanche;0 CCAL  Belle Epine;94320;Thiais
530422;Tabac de la Gare;Dimanche;81 Bd de Brandebourg;94200;Ivry-sur-Seine
530428;Tabac des Plantes;;36-38 R. des Plantes;75014;Paris
530440;Le Marigny;Dimanche;7 Pl. Lucien Boilleau;91420;Morangis
530464;La Divette;Dimanche;63 Av. Aristide Briand;92120;Montrouge
530468;LE Longchamp;Lundi;99 Av. de la Division Leclerc;92290;Châtenay-Malabry
530470;Tabac WEN;Dimanche;20 R. Littré;75006;Paris
530479;Tabac des Ministères;;45 R. vaneau;75007;Paris
530480;Calumet des Halles;;47 R. Montorgueil;75002;Paris
530481;Tabac de Choisy;;47 Av. de Choisy;75013;Paris
530482;Le Royal Marigny;;26 Av. de Fontainebleau;94270;Le Kremlin-Bicêtre
530483;Civette St Michel;;137 Bd St-Michel;75005;Paris
530491;Civette du Centre;;4 R. Jean-Pierre Timbaud;92320;Châtillon
530494;Le Tabac du Chatelet;;8 R. Saint Denis;75001;Paris
530499;Le Rond Point;;18 Pl. Jean Jaures;92120;Montrouge
530514;Le Week End;Mercredi;31 Av. des Dahlias;94240;L'Haÿ-les-Roses
530524;Tabac Cave à Cigare;;20 Av. Bosquet;75007;Paris
530527;Tabac du Clos;;2 Bd du Col. Fabien;92240;Malakoff
530529;Maison de la presse;Dimanche;1 R. de Mesly;94000;Créteil
530530;La Bouffarde;;177 Bd Brune;75014;Paris
530536;Le Rothenburg;Dimanche;0 1-3 Pl. de Rothenburg;91200;Athis-Mons
530548;Café Le Dauphine;;17 R. Dauphine;75006;Paris
530551;Tabac de la Glacière;;89 R. de la Glacière;75013;Paris
530566;Le Stalingrad;Dimanche;58 Bd de Stalingrad;94600;Choisy-le-Roi
530579;L' aubrac;Dimanche;1 Av. Mar. de Lattre de Tassigny;94220;Charenton-le-Pont
530591;Le Nemrod;Dimanche;35 Bd. Aristide Briand;91600;Savigny-sur-Orge
540002;Tabac de la Tourelle;Mercredi;170 Av. de Paris;94300;Vincennes
540004;Tabac du Babylone;Dimanche;5 Av. Faidherbe;93310;Le-Pré-Saint-Gervais
540008;Le Saint-Laurent;;64 Bd Rouget de L'Isle;93100;Montreuil
540134;Tabac du Marché;Dimanche;56 Av. Georges Clemenceau;94700;Maisons-Alfort
540144;Le Watteau;Dimanche;7 Bd de Strasbourg;94130;Nogent-sur-Marne
540180;Civette du Globe;Lundi;107 Av. de Stalingrad;93240;Stains
540186;Tabac L'Élégance;Jeudi;67 Av. Gabriel Péri;93400;Saint-Ouen
540234;Le Flash;;25 Bd  Ornano;75018;Paris
540239;Le Maillot;Dimanche;78 Av. de la Grande Armée;75017;Paris
540260;Tabac Presse;Dimanche;36 Av. Simon Bolivar;75019;Paris
540358;Tabac-Presse-Loto;Dimanche;78 R. de Seine;75006;Paris
540402;Librairie Malakoff;Dimanche;59 Av. Pierre Larousse;92240;Malakoff
540473;Le Mont Vallon;Dimanche;5 R. de Vienne;75008;Paris
540629;Le Rénitas;Dimanche;102 Av. d'Argenteuil;92600;Asnières-sur-Seine
540633;Le Coq D'Or;Dimanche;88 R. du Faubourg-Saint-Martin;75010;Paris
540668;Collège de France;Dimanche;21 R. Jean de Beauvais;75005;Paris
510015;Le Maryland;Dimanche;7 Bd Jean Jaurès;92110;Clichy
510070;La Civette Du Parc;Dimanche;11 Esplanade Charles de Gaulle;92000;Nanterre
510073;Tabac de la Gare;Dimanche;1 R. Fernand Pelloutier;92800;Puteaux
510128;Tabac des 4 Temps;Dimanche;Ccial Les 4 Temps 2 Parvis de la Déf;92800;Puteaux
510173;Le Mozart;Dimanche;108 Av. Mozart;75016;Paris
510208;La Tabatière;Dimanche;58 Av. de Fouilleuse;92500;Rueil-Malmaison
510235;Le Vizir;Dimanche;42 R. Lafayette;75009;Paris
510257;Le Tabac de l'Ouest;Dimanche;43 R. d'Alsace;92300;Levallois-Perret
510301;Tabac de la Basiliqu;;2 R. Henri Barbusse;95100;Argenteuil
510322;Le Dunhill;Dimanche;38 R. de Rochechouart;75009;Paris
510352;Le Lutèce;Dimanche;380 R. de Vaugirard;75015;Paris
510381;Tabac du Rocher;Dimanche;91 R. du Rocher;75008;Paris
510393;Le Diplomate;;60 R. Pierre Timbaud;92230;Gennevilliers
510413;Tabac Le Village;Lundi;70 R. des Entrepreneurs;75015;Paris
510428;L'Européen;Dimanche;165 Bd de Verdun;92400;Courbevoie
510455;Le Rallye Villiers;Dimanche;3 Pl. de la Libération;92300;Levallois-Perret
510460;Le Brelan;Dimanche;2 Bd Léon Feix;95100;Argenteuil
510471;Le P'ti Bistrot;;62 R. Saint-Lambert;75015;Paris
510475;Le Flachat;Dimanche;35 R. de Chanzy;92600;Asnières-sur-Seine
510480;Le Terminus;Dimanche;4 Pl. Jacques Froment;75018;Paris
510484;Tabac - Presse;;76 R. Camille Desmoulins;92130;Issy-les-Moulineaux
510492;Le Narval;;2 R. du Gué;92500;Rueil-Malmaison
510502;Le Celtique;Dimanche;221 Av. Charles de Gaulle;92200;Neuilly-sur-Seine
510504;Tabac de la Tour;;51 R. de la Tour;75016;Paris
510157;Le Narval;Dimanche;72 R. Paul Vaillant-Couturier;92140;Clamart
510506;Le Maryland;Mercredi;24 R. de la République;92170;Vanves
510182;Le Comptoir du Parc;Dimanche;20 R. Cauchy;75015;Paris
510512;Le Narval;;17 R. des Dames;75017;Paris
510196;Le Marigny;Lundi;59 Bd Lefebvre;75015;Paris
510541;Tabac Franklin;;4 R. Benjamin Franklin;75016;Paris
510199;Le Fontenoy;Dimanche;36 R. Henri Barbusse;92000;Nanterre
510554;La boite à cigare;Dimanche;23 de Rome;75008;Paris
510229;Tabac de la Mairie;Dimanche;83 Bd Jean Jaurès;92110;Clichy
510570;Le Lutecia;;27 Av. Jean Baptiste Clément;92100;Boulogne-Billancourt
510232;Le Royal Tabac;Dimanche;99 Av. Edouard Vaillant;92100;Boulogne-Billancourt
510578;La Civette;Dimanche;1 R. Paul Vaillant Couturier;92140;Clamart
510233;Le Celtique;Dimanche;51 R. Aristide Briand;92300;Levallois-Perret
510580;L'Orangerie;Samedi;33 R. Jean Jaurès;92800;Puteaux
510251;Le Marigny;Jeudi;92 R. Danton;92500;Rueil-Malmaison
510591;Tabac de la Colline;Dimanche;37 R. d'Orléans;92210;Saint-Cloud
510259;Le Celtique;Lundi;5 R. du Tour de L'Étang;92350;Le Plessis-Robinson
510596;Le Havane;;63 Av. des Grésillons;92230;Gennevilliers
510278;Le Lamarck;;55 R. Lamarck;75018;Paris
510602;Tabac Loto Presse;Dimanche;43 R. des Aubépines;92000;Nanterre
510292;L‘Européen;;87 R. Maurice Thorez;92000;Nanterre
510605;Le Flash;;6 R. Ordener;75018;Paris
510299;Le Sénioritas;Dimanche;169 R. du Dr Bauer;93400;Saint-Ouen
510606;Presse du Chateau;;15 Av. du Chateau;95100;Argenteuil
510300;La Vitole;Dimanche;126 Bd Murat;75016;Paris
510611;La Coupole d' Argent;Dimanche;1 R. Chantecoq;92800;Puteaux
510321;Le Rocher St-Lazare;;5 BIS R. du Rocher;75008;Paris
510612;Le Saint Claude;Dimanche;11 AV. d' Argenteuil;92600;Asnières-sur-Seine
510339;Café Drouot;Dimanche;10 R. Drouot angle 4R. Rossini;75009;Paris
510619;La Royale;;2 Pl. de la Chapelle;75018;Paris
510341;Le Morzine;;63 R. Doudeauville;75018;Paris
510629;Tabac de la Gare;;22 Av. Jacques Jezequel;92170;Vanves
510378;L'Etincelle;Dimanche;294 R. Lecourbe;75015;Paris
510632;Mag Presse;Dimanche;CCial 25 Route d'Enghien;95100;Argenteuil
510383;Le Silly;Dimanche;143 R. de Silly;92100;Boulogne-Billancourt
510643;Tabac République;;63 Bd de la République;92100;Boulogne-Billancourt
510389;Presse'tige;Dimanche;191 Av. Napoléon Bonaparte;92500;Rueil-Malmaison
510655;Cité de la Presse;Mardi;29 R. Tristan Tzara;75018;Paris
510392;Le Montalegre;Lundi;118 Av. du Président Wilson;92800;Puteaux
510656;Tabac du Parc;;19 Av. du Maréchal Leclerc;92360;Meudon-la-Forêt
510407;Presse Le Protocole;Samedi;36BIS Square des Corolles;92400;Courbevoie
510660;Bar le Rallye;Dimanche;5 R. du Landy;92110;Clichy
510426;Le Celtic;Dimanche;1 R. Mademoiselle;75015;Paris
510670;Tabac le Chamois;;355 R. de Vaugirard;75015;Paris
510444;Tabac le Nazir;;56 R. des Abbesses;75018;Paris
520012;Librairie du Lycée;Dimanche;76 R. de Rosny;93100;Montreuil
510451;Le Lonchamps;;57 R. Jean Jaurès;92300;Levallois-Perret
520028;Tabac de L'Église;Dimanche;2 Av. Paul Doumer;93460;Gournay-sur-Marne
510458;A Rabelais;;32 R. de la République;92190;Meudon
520033;Le Madrigal;Dimanche;64 Av. Daniel Perdrige;93360;Neuilly-Plaisance
510470;Le Havane;;188 Av. de Versailles;75016;Paris
520056;Le Papyrus;Dimanche;CCial Route de Montfermeil;77500;Chelles
510477;Tabac des Victoires;Dimanche;1 Pl. des Victoires;92600;Asnières-sur-Seine
520128;Le Brazza;Dimanche;76 R. Roger Salengro;93700;Drancy
510479;Le Rallye;;79 Bd Barbes;75018;Paris
520147;Rougemont Presse;Dimanche;2 R. Pierre Brossolette;93270;Sevran
510483;Civette St-Charles;Dimanche;158 Rd-Pt St-Charles;75015;Paris
520165;Les Volutes;Dimanche;14 R.de Toulouse Ccl Les Flanades;95200;Sarcelles
510491;Le Clémenceau;;4 Quai Georges Clémenceau;78380;Bougival
520185;Le Bercy;Dimanche;6 R. Chambertin;75012;Paris
510500;Le Totem;Dimanche;81 Av du Gén. de Gaulle;92800;Puteaux
520228;Espace Tabac;Lundi;74 R. Jean Jaurès;77410;Claye-Souilly
510508;Le Voltaire;Dimanche;22 Bd Voltaire;92600;Asnières-sur-Seine
520255;Le Victor Hugo;;135 Av.  Jean Lolive;93500;Pantin
510521;Le Porte Plume;Dimanche;58 Av. Victor Cresson;92130;Issy-les-Moulineaux
520261;Les Copains;Dimanche;294 R. de Rosny;93100;Montreuil
510524;Le Nouveau Siècle;;156 Av. de Saint Ouen;75018;Paris
520268;Le Narval;Dimanche;95 Av. Jules Guesde;93240;Stains
510528;Librairie des Indes;;CCial Carrefour - 6 place Stendhal;78500;Sartrouville
510010;Le Balto;Dimanche;66 R. de la Sablière;92600;Asnières-sur-Seine
520273;L'Ecu de France;;95 Av. des Sciences;77500;Chelles
510539;Civette de Puteaux;Dimanche;65 Q. de Dion-Bouton;92800;Puteaux
510033;Tabac du Parc;Dimanche;26 R. Pierre Brossolette;92300;Levallois-Perret
520307;Le Rocher Fleuri;;52 Av. du Général Galliéni;94340;Joinville-le-Pont
510565;Tabac Haussmann;Samedi;46 R. de Laborde;75008;Paris
510050;Tabac du Golf;Dimanche;79 R. du 19 Janvier;92380;Garches
520327;Au Diplomate;Dimanche;68 R. Gabriel Péri;93200;Saint-Denis
510573;Le Dôme;Dimanche;1 R. Albert Dhalenne;93400;Saint-Ouen
510075;Le Tobacco;Dimanche;4 All. de L'Hôtel de Ville;92500;Rueil-Malmaison
520331;Au Petit Tabac;Dimanche;2 Av. Édouard Vaillant;93500;Pantin
510575;Saint Philippe Roule;Dimanche;68 R. de la Boétie;75008;Paris
510170;Les Tilleuls;Dimanche;13 Pl. de Stalingrad;92190;Meudon
520375;Le Drapeau;Dimanche;18 Av. de Paris;94300;Vincennes
510593;Le Balto;Dimanche;48 R. Gabriel Péri;92300;Levallois-Perret
510181;L‘Alliance;Dimanche;52-56 R. de la Croix-Nivert;75015;Paris
520402;Paristar;;88BIS Av. Parmentier;75011;Paris
510595;Le Presse Book;Lundi;12 R. Trébois;92300;Levallois-Perret
510192;Seventeen;Dimanche;17BIS R. Marcel Allegot;92190;Meudon
520410;Le Balto;Lundi;1 R. de Paris;93380;Pierrefitte-sur-Seine
510615;Tabac Place Pereire;;123 Bd Pereire;75017;Paris
510210;La Royale;Dimanche;165 R. du Fbg Poissonnière;75009;Paris
520416;Tabac du Marché;Lundi;56 R. des Héros Nogentais;94130;Nogent-sur-Marne
510617;Civette le Breizh;Dimanche;8 R. Georges Boisseau;92110;Clichy
510225;Le Kennedy;Dimanche;12 Av. de Versailles;75016;Paris
520425;Le Lutecia;Dimanche;36 R. Oberkampf;75011;Paris
510620;Le Drugstore;;112 R. Lauriston;75016;Paris
510231;Tabac du Théâtre;Dimanche;2 Pl. de Stalingrad;92150;Suresnes
520427;Tabac du Centre;Dimanche;64 R. Jules Guesde;93140;Bondy
510627;Le Jouffroy;;47 R. Jouffroy d'Abbans;75017;Paris
510234;Tabac des Ternes;Dimanche;108 Av. des Ternes;75017;Paris
520438;La Rame;;21 R. Philippe de Girard;75010;Paris
510636;Tabac Saint-Germain;;3 Cours l'Ancienne Boulangerie;92130;Issy-les-Moulineaux
510240;Le Valmy;Dimanche;4 Cours Valmy;92800;Puteaux
520439;Le Lutétia;Dimanche;47 R. de la Grange aux belles;75010;Paris
510637;Tabac les Rosiers;Dimanche;56 R. des Rosiers;93400;Saint-Ouen
510245;Tabac de Pigalle;Dimanche;34 R. la Bruyère;75009;Paris
520464;Le Rocher;Lundi;5 Bd  Marx Dormoy;93190;Livry-Gargan
510638;La Cave à Cigares;;27 R. de la Paix;92000;Nanterre
510260;Le Temps de Lire;Dimanche;9 rte du Pavé Blanc;92140;Clamart
520469;Le Tabac de Rivoli;;44 R. de Rivoli;75004;Paris
510641;Tabac de l'Arsenal;Dimanche;74 R. des Bons Raisins;92500;Rueil-Malmaison
510288;L'Ariel;;20 R. des Martyrs;75009;Paris
520472;Le Navigateur;Dimanche;103 Av. Simon Bolivar;75019;Paris
510642;LE SOYOUZ;;167 Bd des Provinces Françaises;92000;Nanterre
510317;La Civette Wagram;Dimanche;8 Av. de Wagram;75008;Paris
520478;Le Pont de Stains;;98 R. Sadi Carnot;93300;Aubervilliers
510645;la Civette de L'Ile;Dimanche;27 Bd du gèn. Leclerc;92000;Nanterre
510333;Le Chaptal;Dimanche;70-72 Bd des Batignolles;75017;Paris
520488;Le Saint-Germain;;120 R. de Bagnolet;75020;Paris
510650;Tabac - Presse;;54 R. Marcel Bontemps;92100;Boulogne-Billancourt
510335;Elysée;Dimanche;5 R. de Miromesnil;75008;Paris
520492;Tabac Le Larzac;;2 Av. de la Résistance;77500;Chelles
510652;la Libération;;8 Av.de la Libération;92230;Gennevilliers
510350;Le Cyrano;;110 R. des Bourguignons;92600;Asnières-sur-Seine
520495;Le Balto;;125 Bd  de Magenta;75010;Paris
510654;Le Renitas;;102 Av. d'Argenteuil;92600;Asnières-sur-Seine
510376;La Civette d'Auteuil;Dimanche;37 R. Chanez;75016;Paris
520509;Café Tabac Le Flach;Dimanche;64 Bd  Voltaire;75011;Paris
510664;Le Chiquito;Dimanche;3 R. de Colombes;92400;Courbevoie
510377;L'Atmosphère;Dimanche;5 R. de l'Abreuvoir;92400;Courbevoie
520516;Tabac La Gascogne;Dimanche;1 Sq. de la Gascogne;75020;Paris
510004;Le Boyard;Dimanche;2 Av. Michelet;93400;Saint-Ouen
520003;Tabac de la Mairie;Mercredi;3 R. de Paris;93230;Romainville
510396;Le Chiquito;Dimanche;112 R. St-Charles;75015;Paris
520520;La Navette de Bry;Samedi;1 Pl. Daguerre;94360;Bry-sur-Marne
510011;Le Tom Tip;Samedi;117 R. Victor Hugo;92300;Levallois-Perret
520009;Tabac d'Eden;Dimanche;82 Bd de Belleville;75020;Paris
510397;Les Jardinsde la Gar;Dimanche;155 Av. Maurice Utrillo;95100;Argenteuil
520522;Tabac de la Poste;;25 R. du Rendez-vous;75012;Paris
510038;L'Ariel;Dimanche;62 R. Baudin;92300;Levallois-Perret
520015;Tabac de l‘Avenue;Dimanche;48 Bd de la Liberté;94170;Le Perreux-sur-Marne
